prey growth rate,0.8
prey death rate,0.2
predator growth rate,0.0004
predator death,0.2
x,500
y,20
n,90000
t (days),180

timestep,x,y
0.486,723.311,20.4117
0.488,724.41,20.4154
0.49,725.511,20.4191
0.492,726.613,20.4227
0.494,727.717,20.4265
0.496,728.823,20.4302
0.498,729.93,20.4339
0.5,731.04,20.4377
0.502,732.15,20.4415
0.504,733.263,20.4453
0.506,734.377,20.4491
0.508,735.493,20.453
0.51,736.61,20.4568
0.512,737.729,20.4607
0.514,738.85,20.4646
0.516,739.973,20.4685
0.518,741.097,20.4725
0.52,742.223,20.4764
0.522,743.35,20.4804
0.524,744.48,20.4844
0.526,745.611,20.4884
0.528,746.743,20.4925
0.53,747.878,20.4965
0.532,749.014,20.5006
0.534,750.152,20.5047
0.536,751.291,20.5088
0.538,752.433,20.5129
0.54,753.576,20.5171
0.542,754.72,20.5212
0.544,755.867,20.5254
0.546,757.015,20.5296
0.548,758.165,20.5339
0.55,759.317,20.5381
0.552,760.47,20.5424
0.554,761.625,20.5467
0.556,762.782,20.551
0.558,763.941,20.5553
0.56,765.101,20.5597
0.562,766.263,20.5641
0.564,767.427,20.5684
0.566,768.593,20.5729
0.568,769.76,20.5773
0.57,770.929,20.5817
0.572,772.1,20.5862
0.574,773.273,20.5907
0.576,774.447,20.5952
0.578,775.623,20.5997
0.58,776.801,20.6043
0.582,777.981,20.6089
0.584,779.163,20.6135
0.586,780.346,20.6181
0.588,781.531,20.6227
0.59,782.718,20.6274
0.592,783.907,20.632
0.594,785.097,20.6367
0.596,786.289,20.6415
0.598,787.483,20.6462
0.6,788.679,20.651
0.602,789.877,20.6557
0.604,791.076,20.6605
0.606,792.277,20.6654
0.608,793.48,20.6702
0.61,794.685,20.6751
0.612,795.892,20.6799
0.614,797.101,20.6848
0.616,798.311,20.6898
0.618,799.523,20.6947
0.62,800.737,20.6997
0.622,801.953,20.7047
0.624,803.17,20.7097
0.626,804.39,20.7147
0.628,805.611,20.7198
0.63,806.834,20.7249
0.632,808.059,20.73
0.634,809.286,20.7351
0.636,810.515,20.7402
0.638,811.745,20.7454
0.64,812.978,20.7506
0.642,814.212,20.7558
0.644,815.448,20.761
0.646,816.686,20.7663
0.648,817.926,20.7715
0.65,819.167,20.7768
0.652,820.411,20.7821
0.654,821.656,20.7875
0.656,822.903,20.7928
0.658,824.153,20.7982
0.66,825.404,20.8036
0.662,826.656,20.809
0.664,827.911,20.8145
0.666,829.168,20.82
0.668,830.426,20.8255
0.67,831.687,20.831
0.672,832.949,20.8365
0.674,834.214,20.8421
0.676,835.48,20.8477
0.678,836.748,20.8533
0.68,838.018,20.8589
0.682,839.29,20.8645
0.684,840.563,20.8702
0.686,841.839,20.8759
0.688,843.117,20.8816
0.69,844.396,20.8874
0.692,845.678,20.8932
0.694,846.961,20.8989
